subject id,2017 scaled,2018 scaled,2019 scaled,resident,mean 2017,mean 2018,mean 2019
203134,133,187,182,resident 1,143.4375,166.5,169.875
203138,145,181,159,resident 2,,,
203139,160,173,159,resident 3,,,
203147,154,159,169,resident 4,,,
203152,145,185,188,resident 5,,,
203160,161,170,164,resident 6,,,
204505,154,196,184,resident 7,,,
204510,104,139,156,resident 8,,,
204511,137,166,182,resident 9,,,
204521,181,173,176,resident 10,,,
204528,149,170,169,resident 11,,,
205060,117,143,148,resident 12,,,
205065,215,163,204,resident 13,,,
205068,105,150,134,resident 14,,,
205072,120,166,169,resident 15,,,
205092,115,143,175,resident 16,,,
